Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
K25,KEYSW,Kailh_socket_MX_with_switch_1.00U,234.150000,-48.900000,0.000000,top
K26,KEYSW,Kailh_socket_MX_with_switch_1.00U,253.150000,-48.900000,0.000000,top
K27,KEYSW,Kailh_socket_MX_with_switch_1.00U,272.150000,-48.900000,0.000000,top
K28,KEYSW,Kailh_socket_MX_with_switch_2.25U,303.025000,-48.900000,0.000000,top
K29,KEYSW,Kailh_socket_MX_with_switch_2.00U,39.400000,-67.900000,0.000000,top
K30,KEYSW,Kailh_socket_MX_with_switch_1.00U,67.900000,-67.900000,0.000000,top
K31,KEYSW,Kailh_socket_MX_with_switch_1.00U,86.900000,-67.900000,0.000000,top
K32,KEYSW,Kailh_socket_MX_with_switch_1.00U,105.900000,-67.900000,0.000000,top
K33,KEYSW,Kailh_socket_MX_with_switch_1.00U,124.900000,-67.900000,0.000000,top
K34,KEYSW,Kailh_socket_MX_with_switch_1.00U,143.900000,-67.900000,0.000000,top
K35,KEYSW,Kailh_socket_MX_with_switch_1.00U,162.900000,-67.900000,0.000000,top
K36,KEYSW,Kailh_socket_MX_with_switch_1.00U,181.900000,-67.900000,0.000000,top
K37,KEYSW,Kailh_socket_MX_with_switch_1.00U,200.900000,-67.900000,0.000000,top
K38,KEYSW,Kailh_socket_MX_with_switch_1.00U,219.900000,-67.900000,0.000000,top
K39,KEYSW,Kailh_socket_MX_with_switch_1.00U,238.900000,-67.900000,0.000000,top
K40,KEYSW,Kailh_socket_MX_with_switch_1.00U,257.900000,-67.900000,0.000000,top
K41,KEYSW,Kailh_socket_MX_with_switch_1.00U,276.900000,-67.900000,0.000000,top
K42,KEYSW,Kailh_socket_MX_with_switch_2.00U,305.400000,-67.900000,0.000000,top
K43,KEYSW,Kailh_socket_MX_with_switch_1.50U,34.650000,-86.900000,0.000000,top
K44,KEYSW,Kailh_socket_MX_with_switch_1.00U,58.400000,-86.900000,0.000000,top
K45,KEYSW,Kailh_socket_MX_with_switch_1.00U,77.400000,-86.900000,0.000000,top
K46,KEYSW,Kailh_socket_MX_with_switch_1.00U,96.400000,-86.900000,0.000000,top
K47,KEYSW,Kailh_socket_MX_with_switch_1.00U,115.400000,-86.900000,0.000000,top
K48,KEYSW,Kailh_socket_MX_with_switch_1.00U,134.400000,-86.900000,0.000000,top
K49,KEYSW,Kailh_socket_MX_with_switch_1.00U,153.400000,-86.900000,0.000000,top
K50,KEYSW,Kailh_socket_MX_with_switch_1.00U,172.400000,-86.900000,0.000000,top
K51,KEYSW,Kailh_socket_MX_with_switch_1.00U,191.400000,-86.900000,0.000000,top
K52,KEYSW,Kailh_socket_MX_with_switch_1.00U,210.400000,-86.900000,0.000000,top
K53,KEYSW,Kailh_socket_MX_with_switch_1.00U,229.400000,-86.900000,0.000000,top
K54,KEYSW,Kailh_socket_MX_with_switch_1.00U,248.400000,-86.900000,0.000000,top
K55,KEYSW,Kailh_socket_MX_with_switch_2.00U,276.900000,-86.900000,0.000000,top
K56,KEYSW,Kailh_socket_MX_with_switch_1.50U,310.150000,-86.900000,0.000000,top
K57,KEYSW,Kailh_socket_MX_with_switch_2.00U,63.150000,-105.900000,0.000000,top
K58,KEYSW,Kailh_socket_MX_with_switch_1.25U,94.025000,-105.900000,0.000000,top
K59,KEYSW,Kailh_socket_MX_with_switch_1.00U,115.400000,-105.900000,0.000000,top
K60,KEYSW,Kailh_socket_MX_with_switch_2.25U,146.275000,-105.900000,0.000000,top
K61,KEYSW,Kailh_socket_MX_with_switch_1.25U,179.525000,-105.900000,0.000000,top
K62,KEYSW,Kailh_socket_MX_with_switch_1.25U,203.275000,-105.900000,0.000000,top
K63,KEYSW,Kailh_socket_MX_with_switch_1.25U,227.025000,-105.900000,0.000000,top
K64,KEYSW,Kailh_socket_MX_with_switch_2.00U,257.900000,-105.900000,0.000000,top
K65,KEYSW,Kailh_socket_MX_with_switch_1.25U,288.775000,-105.900000,0.000000,top
K66,KEYSW,Kailh_socket_MX_with_switch_1.50U,310.150000,-29.900000,0.000000,top
SW1,SW_PUSH,pad-button,22.900000,-92.000000,270.000000,top
